q_id,question,choices,pct_voters,Trump,Biden,state
191,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Disapprove strongly,0.47,2,97,michigan
192,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Approve strongly,0.38,9,91,michigan
192,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Approve somewhat,0.22,40,59,michigan
192,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Disapprove somewhat,0.11,82,15,michigan
192,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Disapprove strongly,0.28,94,4,michigan
193,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Approve,0.6,20,79,michigan
193,Do you approve or disapprove of the way Gretchen Whitmer has handled the coronavirus pandemic? ,Disapprove,0.39,91,7,michigan
194,"Would you say Joe Biden is too tolerant of extremist groups, or not?",Yes,0.43,85,13,michigan
194,"Would you say Joe Biden is too tolerant of extremist groups, or not?",No,0.55,19,80,michigan
195,"Would you say Donald Trump is too tolerant of extremist groups, or not?",Yes,0.53,16,83,michigan
195,"Would you say Donald Trump is too tolerant of extremist groups, or not?",No,0.46,84,15,michigan
196,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Joe Biden is elected president?",Major problem,0.44,90,7,michigan
196,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Joe Biden is elected president?",Minor problem,0.27,23,76,michigan
196,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Joe Biden is elected president?",Not a problem,0.28,4,95,michigan
197,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Joe Biden is elected president?",A problem,0.71,65,33,michigan
197,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Joe Biden is elected president?",Not a problem,0.28,4,95,michigan
198,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Donald Trump is re-elected president?",Major problem,0.51,6,93,michigan
198,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Donald Trump is re-elected president?",Minor problem,0.19,83,15,michigan
198,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Donald Trump is re-elected president?",Not a problem,0.29,97,2,michigan
199,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Donald Trump is re-elected president?",A problem,0.7,27,71,michigan
199,"Do you think corruption in the U.S. government would be a major problem, a minor problem or not a problem if Donald Trump is re-elected president?",Not a problem,0.29,97,2,michigan
1,"Do you describe yourself as a man, a woman, or in some other way?",Men,0.47,50,48,minnesota
1,"Do you describe yourself as a man, a woman, or in some other way?",Women,0.52,42,57,minnesota
1,"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,minnesota
2,What is your age?,18-29,0.13,32,66,minnesota
2,What is your age?,30-44,0.24,41,56,minnesota
2,What is your age?,45-64,0.36,50,48,minnesota
2,What is your age?,65+,0.27,50,49,minnesota
3,Which best describes your level of education?,High school or less,0.23,54,45,minnesota
3,Which best describes your level of education?,"Some college, or associate degree",0.35,49,49,minnesota
3,Which best describes your level of education?,College graduate,0.28,40,58,minnesota
3,Which best describes your level of education?,Postgraduate study,0.14,33,65,minnesota
4,"What is your present religion, if any?",Protestant,0.29,54,44,minnesota
4,"What is your present religion, if any?",Catholic,0.24,53,45,minnesota
4,"What is your present religion, if any?",Mormon,0,,,minnesota
4,"What is your present religion, if any?",Other Christian,0.15,57,41,minnesota
4,"What is your present religion, if any?",Jewish,0.01,,,minnesota
4,"What is your present religion, if any?",Muslim,0.01,,,minnesota
4,"What is your present religion, if any?",Something else,0.07,34,62,minnesota
4,"What is your present religion, if any?",None,0.22,23,75,minnesota
5,"Do you consider yourself to be gay, lesbian, bisexual or transgender?",Yes,0.08,,,minnesota
5,"Do you consider yourself to be gay, lesbian, bisexual or transgender?",No,0.92,48,50,minnesota
6,Are you:,Single or never married,0.26,38,61,minnesota
6,Are you:,Married,0.56,51,47,minnesota
6,Are you:,Separated,0.02,,,minnesota
6,Are you:,Divorced,0.11,,,minnesota
6,Are you:,Widowed,0.05,,,minnesota
7,What was your total household income in 2019?,"Under $25,000",0.09,42,56,minnesota
7,What was your total household income in 2019?,"$25,000-$49,999",0.22,49,50,minnesota
7,What was your total household income in 2019?,"$50,000-$74,999",0.22,44,54,minnesota
7,What was your total household income in 2019?,"$75,000-$99,999",0.17,46,52,minnesota
7,What was your total household income in 2019?,"$100,000 or more",0.29,44,53,minnesota
8,"Have you, or has any member of your household, ever served in the U.S. military?","Veteran, self",0.13,71,27,minnesota
8,"Have you, or has any member of your household, ever served in the U.S. military?",Veteran in household,0.14,46,48,minnesota
8,"Have you, or has any member of your household, ever served in the U.S. military?",No,0.73,43,54,minnesota
9,Which of the following best describes the area where you live?,Urban,0.17,23,75,minnesota
9,Which of the following best describes the area where you live?,Suburban,0.45,42,56,minnesota
9,Which of the following best describes the area where you live?,Small town,0.18,55,43,minnesota
9,Which of the following best describes the area where you live?,Rural,0.2,65,34,minnesota
10,When did you vote?,Election Day,0.37,66,32,minnesota
10,When did you vote?,Early or absentee,0.63,34,65,minnesota
11,Which type of vote did you cast?,Election Day,0.37,66,32,minnesota
11,Which type of vote did you cast?,Early in-person,0.22,41,57,minnesota
11,Which type of vote did you cast?,Mail,0.41,30,69,minnesota
11,Which type of vote did you cast?,First time voting,0.01,,,minnesota
12,"Is this election your first time ever voting, or not?",Not,0.99,46,52,minnesota
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Democrat or lean Democrat,0.47,3,96,minnesota
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Republican or lean Republican,0.46,90,8,minnesota
13,"Do you consider yourself a Democrat, a Republican, or do you not consider yourself either? Do you lean toward either party?",Independent,0.06,38,48,minnesota
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Very liberal,0.11,7,93,minnesota
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Somewhat liberal,0.18,5,94,minnesota
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Moderate,0.34,34,63,minnesota
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Somewhat conservative,0.24,84,14,minnesota
14,"Do you consider yourself to be a liberal, moderate, or conservative?",Very conservative,0.13,96,2,minnesota
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Hillary Clinton,0.39,3,96,minnesota
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Donald Trump,0.41,92,7,minnesota
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Someone else,0.08,31,54,minnesota
15,"Did you vote in the 2016 presidential election for Hillary Clinton, Donald Trump, or someone else?",Did not vote,0.12,37,62,minnesota
16,Have you or someone in your household lost a job or income because of the coronavirus pandemic?,Yes,0.38,41,57,minnesota
16,Have you or someone in your household lost a job or income because of the coronavirus pandemic?,No,0.62,48,50,minnesota
17,"Have you missed out on a major event, like a wedding or funeral, because of the coronavirus pandemic?",Yes,0.58,47,52,minnesota
17,"Have you missed out on a major event, like a wedding or funeral, because of the coronavirus pandemic?",No,0.42,44,54,minnesota
18,Do you have a close friend or family member who has died from the coronavirus?,Yes,0.1,,,minnesota
18,Do you have a close friend or family member who has died from the coronavirus?,No,0.9,47,51,minnesota
19,Which best describes when you decided how you would vote?,I have known all along,0.78,42,57,minnesota
19,Which best describes when you decided how you would vote?,I decided over the course of the campaign,0.18,45,52,minnesota
19,Which best describes when you decided how you would vote?,I decided in the last few days or still haven’t decided,0.04,,,minnesota
20,"Generally speaking, would you say things in this country are heading in the:",Right direction,0.37,91,8,minnesota
20,"Generally speaking, would you say things in this country are heading in the:",Wrong direction,0.62,18,79,minnesota
21,Which one of the following would you say is the most important issue facing the country?,The economy and jobs,0.25,83,15,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Health care,0.09,36,63,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Immigration,0.03,,,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Abortion,0.04,,,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Law enforcement,0.05,87,11,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Climate change,0.05,8,91,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Foreign policy,0.01,,,minnesota
21,Which one of the following would you say is the most important issue facing the country?,The coronavirus pandemic,0.42,22,77,minnesota
21,Which one of the following would you say is the most important issue facing the country?,Racism,0.05,15,80,minnesota
22,Do you think the condition of the nation’s economy is:,Excellent or good,0.44,76,22,minnesota
22,Do you think the condition of the nation’s economy is:,Not so good or poor,0.56,21,76,minnesota
23,Do you think the coronavirus in the United States is:,At least somewhat under control,0.48,79,19,minnesota
23,Do you think the coronavirus in the United States is:,Not at all under control,0.52,15,83,minnesota
24,Which should be the federal government’s higher priority:,"Limiting the spread of the coronavirus, even if it damages the economy",0.59,19,80,minnesota
24,Which should be the federal government’s higher priority:,"Limiting additional damage to the economy, even if it increases the spread of the coronavirus",0.4,85,13,minnesota
25,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly or somewhat favor,0.75,32,66,minnesota
25,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly or somewhat oppose,0.24,85,12,minnesota
26,How serious a problem is racism in U.S. society?,Very or somewhat serious,0.75,30,68,minnesota
26,How serious a problem is racism in U.S. society?,Not too or not at all serious,0.25,90,8,minnesota
27,How serious a problem is racism in policing?,Very or somewhat serious,0.69,28,70,minnesota
27,How serious a problem is racism in policing?,Not too or not at all serious,0.28,88,10,minnesota
28,"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.62,27,71,minnesota
28,"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.37,78,20,minnesota
29,Do you approve or disapprove of recent protests against police violence?,Approve,0.43,11,88,minnesota
29,Do you approve or disapprove of recent protests against police violence?,Disapprove,0.57,71,26,minnesota
30,Do you favor or oppose building a wall along the U.S.-Mexico border?,Strongly or somewhat favor,0.45,88,10,minnesota
30,Do you favor or oppose building a wall along the U.S.-Mexico border?,Strongly or somewhat oppose,0.55,10,88,minnesota
31,Which comes closest to your opinion on abortion? Abortion should be:,Legal in all or most cases,0.56,21,77,minnesota
31,Which comes closest to your opinion on abortion? Abortion should be:,Illegal in all or most cases,0.41,78,20,minnesota
32,"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.68,29,69,minnesota
32,"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.32,87,10,minnesota
33,Should gun laws in the U.S. be made:,More strict,0.5,15,82,minnesota
33,Should gun laws in the U.S. be made:,Less strict,0.11,,,minnesota
33,Should gun laws in the U.S. be made:,Kept as they are,0.39,78,19,minnesota
34,Do you favor or oppose increasing federal government spending on green and renewable energy?,Strongly or somewhat favor,0.69,26,72,minnesota
34,Do you favor or oppose increasing federal government spending on green and renewable energy?,Strongly or somewhat oppose,0.3,90,8,minnesota
35,Do you favor or oppose increasing taxes on goods imported to the U.S. from other countries?,Strongly or somewhat favor,0.59,59,41,minnesota
35,Do you favor or oppose increasing taxes on goods imported to the U.S. from other countries?,Strongly or somewhat oppose,0.39,27,70,minnesota
36,Do you favor or oppose reducing government regulation of business?,Strongly or somewhat favor,0.56,68,31,minnesota
36,Do you favor or oppose reducing government regulation of business?,Strongly or somewhat oppose,0.43,17,81,minnesota
37,"Which of the following comes closest to what you would like to see lawmakers do with the Affordable Care Act, also known as Obamacare?",Repeal the law entirely or in part,0.48,81,17,minnesota
37,"Which of the following comes closest to what you would like to see lawmakers do with the Affordable Care Act, also known as Obamacare?",Leave as is or expand,0.51,12,87,minnesota
38,Do you favor or oppose changing the health care system so that any American can buy into a government-run health care plan if they want to?,Strongly or somewhat favor,0.69,31,67,minnesota
38,Do you favor or oppose changing the health care system so that any American can buy into a government-run health care plan if they want to?,Strongly or somewhat oppose,0.3,78,20,minnesota
39,"Thinking about the presidential election in the U.S., how confident are you that votes will be counted accurately?",Very or somewhat confident,0.71,38,60,minnesota
39,"Thinking about the presidential election in the U.S., how confident are you that votes will be counted accurately?",Not too or not at all confident,0.29,63,35,minnesota
40,"Thinking about the presidential election in the U.S., how confident are you that people who are eligible will be allowed to vote?",Very or somewhat confident,0.82,50,48,minnesota
40,"Thinking about the presidential election in the U.S., how confident are you that people who are eligible will be allowed to vote?",Not too or not at all confident,0.18,22,75,minnesota
41,"In deciding how to vote for U.S. Senator, how important was it to you which party controls the Senate?",A factor,0.95,46,53,minnesota
41,"In deciding how to vote for U.S. Senator, how important was it to you which party controls the Senate?",Not a factor,0.04,41,48,minnesota
42,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",A factor,0.89,43,55,minnesota
42,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",Not a factor,0.1,68,28,minnesota
43,"Thinking about voting in this presidential election, how important to you were protests over police violence?",A factor,0.92,44,54,minnesota
43,"Thinking about voting in this presidential election, how important to you were protests over police violence?",Not a factor,0.07,61,36,minnesota
44,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",A factor,0.95,43,55,minnesota
44,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",Not a factor,0.05,87,8,minnesota
45,Do you have a favorable or unfavorable opinion of the Democratic Party?,Favorable,0.44,5,94,minnesota
45,Do you have a favorable or unfavorable opinion of the Democratic Party?,Unfavorable,0.54,81,16,minnesota
45,Do you have a favorable or unfavorable opinion of the Democratic Party?,Do not know enough to say,0.02,,,minnesota
46,Do you have a favorable or unfavorable opinion of the Republican Party?,Favorable,0.47,88,10,minnesota
46,Do you have a favorable or unfavorable opinion of the Republican Party?,Unfavorable,0.5,9,89,minnesota
46,Do you have a favorable or unfavorable opinion of the Republican Party?,Do not know enough to say,0.03,,,minnesota
47,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Approve,0.43,95,3,minnesota
47,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Disapprove,0.57,3,95,minnesota
48,Do you have a favorable or unfavorable opinion of Donald Trump?,Favorable,0.47,94,5,minnesota
48,Do you have a favorable or unfavorable opinion of Donald Trump?,Unfavorable,0.51,4,92,minnesota
48,Do you have a favorable or unfavorable opinion of Donald Trump?,Do not know enough to say,0.01,,,minnesota
49,Do you have a favorable or unfavorable opinion of Mike Pence?,Favorable,0.47,89,9,minnesota
49,Do you have a favorable or unfavorable opinion of Mike Pence?,Unfavorable,0.48,6,92,minnesota
49,Do you have a favorable or unfavorable opinion of Mike Pence?,Do not know enough to say,0.04,,,minnesota
50,Do you have a favorable or unfavorable opinion of Joe Biden?,Favorable,0.48,7,92,minnesota
50,Do you have a favorable or unfavorable opinion of Joe Biden?,Unfavorable,0.5,86,10,minnesota
50,Do you have a favorable or unfavorable opinion of Joe Biden?,Do not know enough to say,0.01,,,minnesota
51,Do you have a favorable or unfavorable opinion of Kamala Harris?,Favorable,0.43,4,95,minnesota
51,Do you have a favorable or unfavorable opinion of Kamala Harris?,Unfavorable,0.5,85,12,minnesota
51,Do you have a favorable or unfavorable opinion of Kamala Harris?,Do not know enough to say,0.06,,,minnesota
52,Would you say Joe Biden is a strong leader?,Yes,0.5,4,95,minnesota
52,Would you say Joe Biden is a strong leader?,No,0.49,82,15,minnesota
53,Would you say Donald Trump is a strong leader?,Yes,0.45,89,10,minnesota
53,Would you say Donald Trump is a strong leader?,No,0.54,4,94,minnesota
54,Would you say Joe Biden is honest and trustworthy?,Yes,0.54,5,94,minnesota
54,Would you say Joe Biden is honest and trustworthy?,No,0.44,89,9,minnesota
55,Would you say Donald Trump is honest and trustworthy?,Yes,0.35,97,3,minnesota
55,Would you say Donald Trump is honest and trustworthy?,No,0.64,14,84,minnesota
56,Would you say Joe Biden cares about people like you?,Yes,0.58,10,89,minnesota
56,Would you say Joe Biden cares about people like you?,No,0.41,89,9,minnesota
57,Would you say Donald Trump cares about people like you?,Yes,0.4,95,4,minnesota
57,Would you say Donald Trump cares about people like you?,No,0.59,8,90,minnesota
58,Would you say Joe Biden has the mental capability to serve effectively as president?,Yes,0.56,8,91,minnesota
58,Would you say Joe Biden has the mental capability to serve effectively as president?,No,0.43,87,11,minnesota
59,Would you say Donald Trump has the mental capability to serve effectively as president?,Yes,0.46,88,10,minnesota
59,Would you say Donald Trump has the mental capability to serve effectively as president?,No,0.53,4,95,minnesota
60,Would you say Joe Biden is healthy enough to serve effectively as president?,Yes,0.57,11,88,minnesota
60,Would you say Joe Biden is healthy enough to serve effectively as president?,No,0.42,86,13,minnesota
61,Would you say Donald Trump is healthy enough to serve effectively as president?,Yes,0.59,71,28,minnesota
61,Would you say Donald Trump is healthy enough to serve effectively as president?,No,0.4,2,97,minnesota
62,Would you say Joe Biden stands up for what he believes in?,Yes,0.66,20,78,minnesota
62,Would you say Joe Biden stands up for what he believes in?,No,0.33,88,11,minnesota
63,Would you say Donald Trump stands up for what he believes in?,Yes,0.68,61,37,minnesota
63,Would you say Donald Trump stands up for what he believes in?,No,0.3,2,97,minnesota
64,Would you describe your vote for president mainly as for your candidate or against his opponent?,For your candidate,0.57,60,39,minnesota
64,Would you describe your vote for president mainly as for your candidate or against his opponent?,Against his opponent,0.42,20,78,minnesota
65,How important is it to you for the next president to bring the country together?,Very or somewhat important,0.95,42,57,minnesota
65,How important is it to you for the next president to bring the country together?,Not too or not at all important,0.04,,,minnesota
66,How important is it to you for the next president to shake up the political system?,Very or somewhat important,0.67,49,50,minnesota
66,How important is it to you for the next president to shake up the political system?,Not too or not at all important,0.32,30,69,minnesota
67,How important is it to you for the next president to look out for people like you?,Very or somewhat important,0.92,43,56,minnesota
67,How important is it to you for the next president to look out for people like you?,Not too or not at all important,0.07,,,minnesota
68,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Joe Biden,0.43,1,98,minnesota
68,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Donald Trump,0.45,92,5,minnesota
68,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Both equally,0.07,,,minnesota
68,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Neither,0.04,,,minnesota
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Joe Biden,0.53,4,95,minnesota
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Donald Trump,0.3,99,,minnesota
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Both equally,0.08,,,minnesota
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Neither,0.08,,,minnesota
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Joe Biden,0.47,2,98,minnesota
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Donald Trump,0.39,96,2,minnesota
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Both equally,0.05,,,minnesota
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Neither,0.07,,,minnesota
71,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Approve,0.43,95,3,minnesota
71,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Disapprove,0.57,8,89,minnesota
72,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Approve,0.74,31,67,minnesota
72,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Disapprove,0.25,87,10,minnesota
73,Do you have a favorable or unfavorable opinion of Joe Biden?,Very favorable,0.24,4,96,minnesota
73,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat favorable,0.24,9,88,minnesota
73,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat unfavorable,0.12,65,29,minnesota
73,Do you have a favorable or unfavorable opinion of Joe Biden?,Very unfavorable,0.38,93,4,minnesota
73,Do you have a favorable or unfavorable opinion of Joe Biden?,Do not know enough to say,0.01,,,minnesota
74,Do you have a favorable or unfavorable opinion of Donald Trump?,Very favorable,0.3,98,2,minnesota
74,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat favorable,0.18,89,9,minnesota
74,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat unfavorable,0.06,,,minnesota
74,Do you have a favorable or unfavorable opinion of Donald Trump?,Very unfavorable,0.46,1,97,minnesota
74,Do you have a favorable or unfavorable opinion of Donald Trump?,Do not know enough to say,0.01,,,minnesota
75,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,Favorable view of Trump and Biden,0.04,,,minnesota
75,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Trump, unfavorable view of Biden",0.44,97,2,minnesota
75,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Biden, unfavorable view of Trump",0.45,1,98,minnesota
75,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,Unfavorable view of Trump and Biden,0.07,,,minnesota
76,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very favorable,0.24,1,98,minnesota
76,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat favorable,0.19,7,92,minnesota
76,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat unfavorable,0.1,,,minnesota
76,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very unfavorable,0.41,92,5,minnesota
76,Do you have a favorable or unfavorable opinion of Kamala Harris?,Do not know enough to say,0.06,,,minnesota
77,Do you have a favorable or unfavorable opinion of Mike Pence?,Very favorable,0.31,98,1,minnesota
77,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat favorable,0.16,72,23,minnesota
77,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat unfavorable,0.15,13,83,minnesota
77,Do you have a favorable or unfavorable opinion of Mike Pence?,Very unfavorable,0.33,3,96,minnesota
77,Do you have a favorable or unfavorable opinion of Mike Pence?,Do not know enough to say,0.04,,,minnesota
78,Do you have a favorable or unfavorable opinion of the Republican Party?,Very favorable,0.2,98,1,minnesota
78,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat favorable,0.26,80,17,minnesota
78,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat unfavorable,0.16,24,73,minnesota
78,Do you have a favorable or unfavorable opinion of the Republican Party?,Very unfavorable,0.34,2,97,minnesota
78,Do you have a favorable or unfavorable opinion of the Republican Party?,Do not know enough to say,0.03,,,minnesota
79,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Very favorable,0.32,6,93,minnesota
79,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Somewhat favorable,0.21,31,67,minnesota
79,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Somewhat unfavorable,0.13,74,23,minnesota
79,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Very unfavorable,0.26,91,7,minnesota
79,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Do not know enough to say,0.06,49,49,minnesota
80,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Very/Somewhat favorable,0.53,16,82,minnesota
80,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Very/Somewhat unfavorable,0.39,85,13,minnesota
80,Do you have a favorable or unfavorable opinion of Amy Klobuchar?,Do not know enough to say,0.06,49,49,minnesota
81,Do you have a favorable or unfavorable opinion of Tina Smith?,Very favorable,0.23,4,95,minnesota
81,Do you have a favorable or unfavorable opinion of Tina Smith?,Somewhat favorable,0.25,18,81,minnesota
81,Do you have a favorable or unfavorable opinion of Tina Smith?,Somewhat unfavorable,0.15,77,19,minnesota
81,Do you have a favorable or unfavorable opinion of Tina Smith?,Very unfavorable,0.23,93,5,minnesota
81,Do you have a favorable or unfavorable opinion of Tina Smith?,Do not know enough to say,0.11,56,41,minnesota
82,Do you have a favorable or unfavorable opinion of Tina Smith?,Very/Somewhat favorable,0.49,11,88,minnesota
82,Do you have a favorable or unfavorable opinion of Tina Smith?,Very/Somewhat unfavorable,0.38,87,11,minnesota
82,Do you have a favorable or unfavorable opinion of Tina Smith?,Do not know enough to say,0.11,56,41,minnesota
83,Do you have a favorable or unfavorable opinion of Jason Lewis?,Very favorable,0.2,94,5,minnesota
83,Do you have a favorable or unfavorable opinion of Jason Lewis?,Somewhat favorable,0.21,79,18,minnesota
83,Do you have a favorable or unfavorable opinion of Jason Lewis?,Somewhat unfavorable,0.12,23,74,minnesota
83,Do you have a favorable or unfavorable opinion of Jason Lewis?,Very unfavorable,0.27,4,95,minnesota
83,Do you have a favorable or unfavorable opinion of Jason Lewis?,Do not know enough to say,0.18,31,66,minnesota
84,Do you have a favorable or unfavorable opinion of Jason Lewis?,Very/Somewhat favorable,0.41,86,12,minnesota
84,Do you have a favorable or unfavorable opinion of Jason Lewis?,Very/Somewhat unfavorable,0.39,10,89,minnesota
84,Do you have a favorable or unfavorable opinion of Jason Lewis?,Do not know enough to say,0.18,31,66,minnesota
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the better,0.38,97,3,minnesota
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the worse,0.49,2,96,minnesota
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",Has not changed Washington,0.13,56,37,minnesota
86,What is your age?,18-44,0.37,38,60,minnesota
86,What is your age?,45+,0.63,50,49,minnesota
87,What is your age?,18-24,0.07,31,67,minnesota
87,What is your age?,25-29,0.05,34,64,minnesota
87,What is your age?,30-39,0.16,40,57,minnesota
87,What is your age?,40-49,0.14,47,50,minnesota
87,What is your age?,50-64,0.3,49,49,minnesota
87,What is your age?,65+,0.27,50,49,minnesota
88,How old are you? And what is your gender?,18-29 men,0.06,31,67,minnesota
88,How old are you? And what is your gender?,18-29 women,0.07,34,63,minnesota
88,How old are you? And what is your gender?,30-44 men,0.11,42,53,minnesota
88,How old are you? And what is your gender?,30-44 women,0.12,40,58,minnesota
88,How old are you? And what is your gender?,45-64 men,0.18,56,42,minnesota
88,How old are you? And what is your gender?,45-64 women,0.18,45,54,minnesota
88,How old are you? And what is your gender?,65+ men,0.13,57,42,minnesota
88,How old are you? And what is your gender?,65+ women,0.15,43,56,minnesota
88,How old are you? And what is your gender?,All others,0.01,,,minnesota
89,How old are you? And what is your gender?,18-44 men,0.17,38,58,minnesota
89,How old are you? And what is your gender?,18-44 women,0.19,38,60,minnesota
89,How old are you? And what is your gender?,45+ men,0.3,56,42,minnesota
89,How old are you? And what is your gender?,45+ women,0.33,44,54,minnesota
89,How old are you? And what is your gender?,All others,0.01,,,minnesota
90,What is your racial or ethnic heritage?,White,0.9,47,51,minnesota
90,What is your racial or ethnic heritage?,African-American or Black,0.04,,,minnesota
90,What is your racial or ethnic heritage?,Latino or Hispanic,0.02,,,minnesota
90,What is your racial or ethnic heritage?,Asian,0.01,,,minnesota
90,What is your racial or ethnic heritage?,"American Indian, Native American or Alaska Native",0,,,minnesota
90,What is your racial or ethnic heritage?,Native Hawaiian or Other Pacific Islander,0,,,minnesota
90,What is your racial or ethnic heritage?,Other,0.03,41,54,minnesota
91,What is your racial or ethnic heritage?,White,0.9,47,51,minnesota
91,What is your racial or ethnic heritage?,African-American or Black,0.04,,,minnesota
91,What is your racial or ethnic heritage?,Latino or Hispanic,0.02,,,minnesota
91,What is your racial or ethnic heritage?,Other,0.04,38,58,minnesota
92,What is your racial or ethnic heritage?,White,0.9,47,51,minnesota
